Sample ID,X,Y
TCGA-19-2625-01,-6.568300527,0.251788803
TCGA-19-2631-01,-9.232711577,2.045686515
TCGA-19-5947-01,-9.879508964,8.996102404
TCGA-19-5951-01,-11.30412361,3.484435269
TCGA-19-5952-01,-12.21975677,5.748244973
TCGA-19-5955-01,-12.42911641,6.749287762
TCGA-26-1439-01,-5.212247993,0.592010585
TCGA-26-1799-01,2.802461653,5.479445659
TCGA-26-5135-01,5.413361883,-3.350756967
TCGA-27-1830-01,3.807282016,-2.134100165
TCGA-27-1831-01,3.815919826,8.143093083
TCGA-27-1832-01,3.863512043,-5.095869587
TCGA-27-1833-01,1.694074807,6.840303764
TCGA-27-1834-01,4.131640978,-2.167641292
TCGA-27-1835-01,2.805848433,-8.051993022
TCGA-27-1836-01,5.780496891,-1.710888822
TCGA-27-1837-01,-7.20123297,2.611340087
TCGA-27-1838-01,0.78506193,-0.056990788
TCGA-27-2518-01,2.679669327,6.891248873
TCGA-27-2523-01,-5.151257878,15.22985949
TCGA-27-2524-01,-4.09459274,13.81825819
TCGA-27-2526-01,1.927787907,7.404228766
TCGA-27-2527-01,-2.952295856,5.99988855
TCGA-27-2528-01,-2.602388788,9.1848885
TCGA-28-1747-01,-7.004181921,2.826095227
TCGA-28-1755-01,6.019121134,-4.522754259
TCGA-28-5204-01,5.539463537,5.588560461
TCGA-28-5207-01,11.27798599,9.572515527
TCGA-28-5215-01,12.37006719,14.30032064
TCGA-28-5218-01,12.40879711,14.35241276
TCGA-28-6450-01,-12.84210905,5.246696816
TCGA-32-1970-01,2.198649591,-4.006724326
TCGA-32-1973-01,0.452311792,2.395773661
TCGA-32-1976-01,0.421163367,17.72102746
TCGA-32-1978-01,-7.716976255,1.666932453
TCGA-32-1979-01,-10.88939174,6.196820508
TCGA-32-1980-01,-10.51599586,6.327995864
TCGA-32-1982-01,2.105839652,8.501301116
TCGA-32-1986-01,-2.912246625,-1.038237333
TCGA-32-1987-01,-10.53596124,7.801031943
TCGA-32-1991-01,-5.175925864,1.061208005
TCGA-32-2491-01,-13.19473756,6.604029791
TCGA-32-2494-01,-11.32267522,6.859370912
TCGA-32-2495-01,-9.611037655,3.595006429
TCGA-32-2615-01,-6.449613791,-1.969283148
TCGA-32-2616-01,-4.731085348,4.010328942
TCGA-32-2632-01,-6.472885562,15.86919902
TCGA-32-4210-01,1.295135361,16.34547503
